,forecast
2018-11-05,226210644.39065433
2018-11-06,1453873089.3460348
2018-11-07,3455223609.320589
2018-11-08,4934993000.036865
2018-11-09,5147763202.903304
2018-11-10,4179784300.086021
2018-11-11,2780698580.0713534
2018-11-12,1818515102.954132
2018-11-13,1768478909.3318052
2018-11-14,2506856490.0909834
2018-11-15,3481723979.4217277
2018-11-16,4098505345.7935896
2018-11-17,4065718334.444846
2018-11-18,3510374924.713938
2018-11-19,2835863957.657852
2018-11-20,2446148101.4815855
2018-11-21,2515641182.8427954
2018-11-22,2928178569.200475
2018-11-23,3391631619.809451
2018-11-24,3633604009.8463078
2018-11-25,3553251075.4625964
2018-11-26,3250090001.882813
2018-11-27,2933912692.1921186
2018-11-28,2786930905.5309143
2018-11-29,2864619675.8161974
2018-11-30,3085267073.9226775
2018-12-01,3299385327.792684
2018-12-02,3386138176.8143473
2018-12-03,3317369728.1367593
2018-12-04,3158178752.3955574
